Count,Participant,Condition,Week,LanguageDescrip,EngCode,WordID,Tag,Stim,Word,Spanish,CNC,IMG,FAM,EngFreq,SpanFreq,EngFreqLog10,SpanFreqLog10,EngLength,SpanLength,Color,Sound,Morality,Valence,Size,Position
1,Eng_01,Monolingual,1,English,0,1,t1,advantage,advantage.t1,ventaja,282,292,562,22.06,28.10096154,2.343605508,2.448721181,9,7,1,4,7,6,7,7
2,Eng_01,Monolingual,1,English,0,2,t1,advice,advice.t1,consejo,291,352,566,47.98,77.23557692,2.681060244,2.887817395,6,7,1,3,4,4,7,7
3,Eng_01,Monolingual,1,English,0,3,t1,appointment,appointment.t1,cita,341,386,541,30.57,149.1346154,2.485295439,3.173578459,11,4,1,5,3,4,1,5
4,Eng_01,Monolingual,1,English,0,4,t1,arrangement,arrangement.t1,arreglo,308,316,525,9.45,20,1.975431809,2.301029996,11,7,1,6,6,7,7,6
5,Eng_01,Monolingual,1,English,0,5,t1,beauty,beauty.t1,belleza,336,513,561,48.24,43.46153846,2.683407299,2.638105095,6,7,7,6,7,7,1,7
6,Eng_01,Monolingual,1,English,0,6,t1,bed,bed.t1,cama,635,635,636,187.12,178.1730769,3.272120209,3.25084208,3,4,6,2,4,7,3,7
7,Eng_01,Monolingual,1,English,0,7,t1,behavior,behavior.t1,comportamiento,295,351,573,22.39,24.78365385,2.350054094,2.394165335,8,14,1,4,6,5,6,7
8,Eng_01,Monolingual,1,English,0,8,t1,bird,bird.t1,p_jaro,602,614,592,45.45,23.125,2.657533888,2.364081741,4,6,1,2,6,1,6,7
9,Eng_01,Monolingual,1,English,0,9,t1,blood,blood.t1,sangre,613,620,571,186.12,230.4807692,3.269793044,3.362634695,5,6,7,3,7,5,1,2
10,Eng_01,Monolingual,1,English,0,10,t1,boat,boat.t1,barco,637,631,584,95.78,84.97596154,2.981274833,2.929296088,4,5,1,2,1,1,7,7
11,Eng_01,Monolingual,1,English,0,11,t1,body,body.t1,cuerpo,568,614,610,195.53,217.6682692,3.2912134,3.337795124,4,6,7,5,7,7,7,7
12,Eng_01,Monolingual,1,English,0,12,t1,bracelet,bracelet.t1,pulsera,602,606,547,7.8,3.894230769,1.892094603,1.590421684,8,7,6,4,3,3,4,1
13,Eng_01,Monolingual,1,English,0,13,t1,brain,brain.t1,cerebro,556,572,580,77.02,92.76442308,2.886603514,2.967381448,5,7,3,3,4,7,6,4
14,Eng_01,Monolingual,1,English,0,14,t1,bridge,bridge.t1,puente,623,608,561,45.71,40.33653846,2.660011221,2.605698626,6,6,7,2,5,5,7,7
15,Eng_01,Monolingual,1,English,0,15,t1,butterfly,butterfly.t1,mariposa,593,624,481,5.51,6.706730769,1.741151599,1.826510873,9,8,4,2,3,2,3,1
16,Eng_01,Monolingual,1,English,0,16,t1,ceiling,ceiling.t1,techo,606,557,531,8.35,41.44230769,1.921686475,2.617443931,7,5,3,4,1,3,7,6
17,Eng_01,Monolingual,1,English,0,17,t1,chair,chair.t1,silla,606,610,617,49.24,55.45673077,2.692318044,2.743954264,5,5,7,3,2,1,2,5
18,Eng_01,Monolingual,1,English,0,18,t1,chicken,chicken.t1,pollo,614,619,544,61.73,47.28365385,2.790496277,2.674711029,7,5,7,2,1,2,1,3
19,Eng_01,Monolingual,1,English,0,19,t1,christmas,christmas.t1,Navidad,432,629,611,122.43,120.3365385,3.087887849,3.080397515,9,7,7,4,5,6,1,7
20,Eng_01,Monolingual,1,English,0,20,t1,church,church.t1,iglesia,587,616,560,69.67,82.93269231,2.843045811,2.918725764,6,7,7,3,4,5,7,7
21,Eng_01,Monolingual,1,English,0,21,t1,city,city.t1,ciudad,554,605,616,169.1,263.9423077,3.228143608,3.421509009,4,6,4,5,5,7,7,7
22,Eng_01,Monolingual,1,English,0,22,t1,clothes,clothes.t1,ropa,600,629,652,101.14,166.7307692,3.004922949,3.222015754,7,4,4,3,5,4,2,7
23,Eng_01,Monolingual,1,English,0,23,t1,contempt,contempt.t1,desprecio,182,,,5.02,5.072115385,1.700703717,1.705189125,8,9,1,3,5,4,2,7
24,Eng_01,Monolingual,1,English,0,24,t1,cow,cow.t1,vaca,621,632,529,25.51,19.49519231,2.406710459,2.289927524,3,4,7,3,1,1,7,1
25,Eng_01,Monolingual,1,English,0,25,t1,danger,danger.t1,peligro,338,505,557,43.67,83.79807692,2.640183192,2.923234052,6,7,7,5,7,7,6,7
26,Eng_01,Monolingual,1,English,0,26,t1,darkness,darkness.t1,oscuridad,419,622,578,17.49,40.33653846,2.242789809,2.605698626,8,9,7,5,5,6,2,6
27,Eng_01,Monolingual,1,English,0,27,t1,debt,debt.t1,deuda,416,384,494,14.22,23.07692308,2.152899596,2.363177902,4,5,3,4,7,7,7,7
28,Eng_01,Monolingual,1,English,0,28,t1,desk,desk.t1,escritorio,583,574,583,43.9,32.04326923,2.64246452,2.505736819,4,10,4,2,2,1,3,7
29,Eng_01,Monolingual,1,English,0,29,t1,door,door.t1,puerta,606,599,630,292.06,328.8701923,3.465472081,3.517024512,4,6,7,5,5,4,7,5
30,Eng_01,Monolingual,1,English,0,30,t1,drum,drum.t1,tambor,602,599,506,8.47,4.663461538,1.92788341,1.668708399,4,6,7,4,1,1,1,1
31,Eng_01,Monolingual,1,English,0,31,t1,duty,duty.t1,deber,322,346,543,50.96,28.96634615,2.707229419,2.461893716,4,5,1,4,7,4,4,4
32,Eng_01,Monolingual,1,English,0,32,t1,effort,effort.t1,esfuerzo,296,367,585,19.35,31.5625,2.286680969,2.499171395,6,8,1,3,7,6,7,7
33,Eng_01,Monolingual,1,English,0,33,t1,faith,faith.t1,fe,270,,,46.33,61.10576923,2.6658623,2.786082216,5,2,1,4,7,7,7,6
34,Eng_01,Monolingual,1,English,0,34,t1,fog,fog.t1,niebla,556,606,546,9.45,6.057692308,1.975431809,1.78230721,3,6,7,4,4,4,4,5
35,Eng_01,Monolingual,1,English,0,35,t1,food,food.t1,comida,597,539,579,154.43,207.7644231,3.188731671,3.317571182,4,6,1,5,4,6,3,4
36,Eng_01,Monolingual,1,English,0,36,t1,forest,forest.t1,bosque,609,633,513,18.88,54.18269231,2.27600199,2.733860581,6,6,7,3,1,1,7,1
37,Eng_01,Monolingual,1,English,0,37,t1,freedom,freedom.t1,libertad,277,437,568,33.1,87.8125,2.519827994,2.943556342,7,8,1,6,7,7,7,7
38,Eng_01,Monolingual,1,English,0,38,t1,friendship,friendship.t1,amistad,335,535,567,22.82,33.22115385,2.35831564,2.521414712,10,7,3,5,7,5,7,7
39,Eng_01,Monolingual,1,English,0,39,t1,frog,frog.t1,respuesta,619,617,507,11.82,7.211538462,2.072617477,1.858027924,4,4,7,3,1,1,1,2
40,Eng_01,Monolingual,1,English,0,40,t1,horse,horse.t1,caballo,613,624,560,92.88,62.16346154,2.967922207,2.79353519,5,7,7,2,3,3,7,4
41,Eng_01,Monolingual,1,English,0,41,t1,kindness,kindness.t1,amabilidad,261,438,560,9.02,7.163461538,1.955206538,1.855122933,8,10,1,3,7,6,7,7
42,Eng_01,Monolingual,1,English,0,42,t1,knife,knife.t1,cuchillo,612,633,573,46.8,41.53846154,2.670245853,2.618450408,5,8,7,3,4,2,1,4
43,Eng_01,Monolingual,1,English,0,43,t1,knowledge,knowledge.t1,conocimiento,278,348,575,25.53,28.77403846,2.407050815,2.45900082,9,12,1,3,7,7,7,7
44,Eng_01,Monolingual,1,English,0,44,t1,lake,lake.t1,lago,585,616,583,36,36.27403846,2.556302501,2.559595909,4,4,7,6,1,2,7,5
45,Eng_01,Monolingual,1,English,0,45,t1,lane,lane.t1,carril,537,543,525,33.41,3.822115385,2.523876476,1.582303794,4,6,2,2,1,2,2,2
46,Eng_01,Monolingual,1,English,0,46,t1,liar,liar.t1,mentiroso,409,425,534,35.14,33.62980769,2.545801757,2.526724384,4,9,1,7,6,6,2,7
47,Eng_01,Monolingual,1,English,0,47,t1,mattress,mattress.t1,colch†n,640,601,524,6.61,6.923076923,1.820201459,1.840299157,8,7,7,4,4,7,2,4
48,Eng_01,Monolingual,1,English,0,48,t1,mercy,mercy.t1,misericordia,239,373,460,25.31,7.524038462,2.403292145,1.876451007,5,12,1,6,6,5,4,3
49,Eng_01,Monolingual,1,English,0,49,t1,message,message.t1,mensaje,459,438,557,91.51,137.3076923,2.961468555,3.137694868,7,7,1,4,3,5,2,3
50,Eng_01,Monolingual,1,English,0,50,t1,month,month.t1,mes,345,448,598,95.18,104.2307692,2.9785457,3.017995943,5,3,1,3,5,5,4,5
51,Eng_01,Monolingual,1,English,0,51,t1,neighborhood,neighborhood.t1,barrio,429,456,507,36.69,37.62019231,2.564547712,2.575421011,12,6,7,4,7,6,7,7
52,Eng_01,Monolingual,1,English,0,52,t1,oven,oven.t1,horno,593,599,577,8.88,13.96634615,1.948412966,2.145082802,4,5,1,2,1,1,1,1
53,Eng_01,Monolingual,1,English,0,53,t1,pig,pig.t1,cerdo,614,635,509,39.14,40.02403846,2.592620821,2.602320907,3,5,7,3,6,3,6,2
54,Eng_01,Monolingual,1,English,0,54,t1,pillow,pillow.t1,almohada,613,624,602,11.39,11.82692308,2.056523724,2.072871772,6,8,7,2,1,3,4,7
55,Eng_01,Monolingual,1,English,0,55,t1,pool,pool.t1,piscina,573,577,541,46.98,34.75961538,2.671913012,2.541074962,4,7,7,3,4,4,7,7
56,Eng_01,Monolingual,1,English,0,56,t1,punishment,punishment.t1,castigo,358,418,515,13.43,23.79807692,2.128076013,2.376541864,10,7,1,4,7,6,2,7
57,Eng_01,Monolingual,1,English,0,57,t1,puppy,puppy.t1,cachorro,623,635,522,11.45,6.63,2.058805487,1.821513528,5,8,4,5,4,7,6,4
58,Eng_01,Monolingual,1,English,0,58,t1,quality,quality.t1,calidad,274,349,560,18.57,18.75,2.268811904,2.273001272,7,7,1,4,7,6,7,2
59,Eng_01,Monolingual,1,English,0,59,t1,rabbit,rabbit.t1,conejo,635,611,523,20.94,22.13942308,2.320976677,2.3451663,6,6,7,5,2,1,2,1
60,Eng_01,Monolingual,1,English,0,60,t1,relief,relief.t1,alivio,303,432,551,14.59,14.42307692,2.164055292,2.15905792,6,6,1,3,7,6,1,6
61,Eng_01,Monolingual,1,English,0,61,t1,response,response.t1,ro,300,348,544,16.1,111.6346154,2.206825876,3.04779888,8,9,1,5,5,5,4,6
62,Eng_01,Monolingual,1,English,0,62,t1,river,river.t1,rana,585,633,565,55.47,61.54,2.744058166,2.789157492,5,3,7,2,1,3,7,7
63,Eng_01,Monolingual,1,English,0,63,t1,shark,shark.t1,tibur†n,611,602,516,14.98,13.87019231,2.175511813,2.142082483,5,7,5,2,3,2,7,1
64,Eng_01,Monolingual,1,English,0,64,t1,shrimp,shrimp.t1,camar†n,629,618,546,8.71,3.149038462,1.940018155,1.498177965,6,7,7,2,2,1,7,1
65,Eng_01,Monolingual,1,English,0,65,t1,sister,sister.t1,hermana,575,613,588,180.53,215.2884615,3.256549382,3.333020754,6,7,2,6,7,7,6,7
66,Eng_01,Monolingual,1,English,0,66,t1,sky,sky.t1,cielo,542,618,607,44.8,144.9278846,2.651278014,3.161151953,3,5,7,5,7,7,7,7
67,Eng_01,Monolingual,1,English,0,67,t1,soul,soul.t1,alma,289,366,544,76.96,81.20192308,2.886265059,2.909566315,4,4,7,3,7,7,7,4
68,Eng_01,Monolingual,1,English,0,68,t1,street,street.t1,calle,579,577,602,148.18,155.3365385,3.17078959,3.191273623,6,5,7,5,2,2,2,4
69,Eng_01,Monolingual,1,English,0,69,t1,tax,tax.t1,impuesto,445,446,523,14.55,4.615384615,2.162862993,1.664207898,3,8,1,3,5,7,7,7
70,Eng_01,Monolingual,1,English,0,70,t1,thief,thief.t1,ladr†n,519,529,529,24.27,28.38942308,2.385069776,2.453156567,5,6,7,4,7,2,1,7
